[18/9/2011] [4:23:8] Casa ID:2 vendida, Dono:caio_TwOPaCk, Tempo:10
[18/9/2011] [4:23:8] Casa ID:3 vendida, Dono:Matheus_TwOPaCk, Tempo:10
[18/9/2011] [4:23:8] Casa ID:4 vendida, Dono:Chivs_FreeStep, Tempo:10
[18/9/2011] [4:23:8] Casa ID:7 vendida, Dono:Gustavo_p, Tempo:10
[18/9/2011] [4:23:8] Casa ID:8 vendida, Dono:Thiago_Matador, Tempo:10
[18/9/2011] [4:23:9] Casa ID:9 vendida, Dono:Raphael_Siilva_xD, Tempo:10
[18/9/2011] [4:23:9] Casa ID:10 vendida, Dono:kevin_bh, Tempo:12
[18/9/2011] [4:23:9] Casa ID:12 vendida, Dono:thugstronda_xxT, Tempo:10
[18/9/2011] [4:23:9] Casa ID:13 vendida, Dono:Guui_Brazukka, Tempo:12
[18/9/2011] [4:23:9] Casa ID:14 vendida, Dono:Thimo_Costa, Tempo:10
[18/9/2011] [4:23:10] Casa ID:15 vendida, Dono:Guto_Moraes, Tempo:12
[18/9/2011] [4:23:10] Casa ID:17 vendida, Dono:Wendel_FeaT, Tempo:10
[18/9/2011] [4:23:10] Casa ID:18 vendida, Dono:Sherwin_xD, Tempo:10
[18/9/2011] [4:23:10] Casa ID:20 vendida, Dono:Bruno_pira1, Tempo:10
[18/9/2011] [4:23:10] Casa ID:21 vendida, Dono:Black_Jack, Tempo:10
[18/9/2011] [4:23:10] Casa ID:22 vendida, Dono:John_HancoK, Tempo:11
[18/9/2011] [4:23:11] Casa ID:23 vendida, Dono:CJ_Black, Tempo:10
[18/9/2011] [4:23:11] Casa ID:26 vendida, Dono:envolvidos_os, Tempo:10
[18/9/2011] [4:23:11] Casa ID:27 vendida, Dono:Danielzin_sk8, Tempo:11
[18/9/2011] [4:23:11] Casa ID:28 vendida, Dono:Yuri_Street, Tempo:11
[18/9/2011] [4:23:11] Casa ID:29 vendida, Dono:GaNgStEr_DeLtA, Tempo:11
[18/9/2011] [4:23:11] Casa ID:30 vendida, Dono:Guiihz_Mcfly, Tempo:12
[18/9/2011] [4:23:12] Casa ID:31 vendida, Dono:Gabriel_Shift, Tempo:10
[18/9/2011] [4:23:12] Casa ID:35 vendida, Dono:Guilher_Fuzilador, Tempo:10
[18/9/2011] [4:23:12] Casa ID:42 vendida, Dono:Andre_Victor, Tempo:11
[18/9/2011] [4:23:12] Casa ID:43 vendida, Dono:DEDE_BALA, Tempo:10
[18/9/2011] [4:23:12] Casa ID:44 vendida, Dono:Head_Dragon, Tempo:10
[18/9/2011] [4:23:12] Casa ID:45 vendida, Dono:jonh_killer, Tempo:11
[18/9/2011] [4:23:13] Casa ID:46 vendida, Dono:Jack_Tequila, Tempo:10
[18/9/2011] [4:23:13] Casa ID:50 vendida, Dono:Austin_wale, Tempo:10
[18/9/2011] [4:23:13] Casa ID:51 vendida, Dono:jonathan_zanata, Tempo:10
[18/9/2011] [4:23:13] Casa ID:53 vendida, Dono:Cry_sk8, Tempo:12
[18/9/2011] [4:23:13] Casa ID:55 vendida, Dono:shuck_L, Tempo:11
[18/9/2011] [4:23:13] Casa ID:56 vendida, Dono:David_GTA, Tempo:10
[18/9/2011] [4:23:13] Casa ID:57 vendida, Dono:Jay_BloodZ, Tempo:10
[18/9/2011] [4:23:14] Casa ID:58 vendida, Dono:Capitao_Eysk, Tempo:10
[18/9/2011] [4:23:14] Casa ID:59 vendida, Dono:gregory_salvador, Tempo:10
[18/9/2011] [4:23:14] Casa ID:60 vendida, Dono:ygor_j, Tempo:10
[18/9/2011] [4:23:14] Casa ID:61 vendida, Dono:Erick_Vasquez, Tempo:10
[18/9/2011] [4:23:14] Casa ID:62 vendida, Dono:PedrO_MourA, Tempo:10
[18/9/2011] [4:23:14] Casa ID:63 vendida, Dono:Thiago_Hass, Tempo:10
[18/9/2011] [4:23:15] Casa ID:64 vendida, Dono:Caveira_Negra, Tempo:10
[18/9/2011] [4:23:15] Casa ID:65 vendida, Dono:CN_EDU, Tempo:10
